epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1713.42,1.01047,0.56428,1.01037,0.87791,0.73321,0.76938,0.51712,1.13071,0.61878,1.07369,0.000848969,0.000848969,0.000848969
43,1753.2,0.99763,0.56971,1.00762,0.8479,0.73077,0.80142,0.51906,1.15978,0.61525,1.08643,0.000834822,0.000834822,0.000834822
44,1794.33,1.00222,0.56343,1.01168,0.8542,0.69484,0.76512,0.52799,1.12753,0.60778,1.07505,0.000820675,0.000820675,0.000820675
45,1834.74,0.98763,0.5648,1.00868,0.77077,0.73154,0.75616,0.49034,1.13915,0.5966,1.07745,0.000806528,0.000806528,0.000806528
46,1875.44,0.98911,0.55156,1.00524,0.84307,0.75578,0.81728,0.52846,1.13893,0.59655,1.08482,0.00079238,0.00079238,0.00079238
47,1915.66,0.97587,0.55179,0.99693,0.81118,0.65295,0.74041,0.48678,1.14007,0.60222,1.08251,0.000778233,0.000778233,0.000778233
48,1955.67,0.96078,0.5326,0.99549,0.86551,0.71254,0.799,0.53056,1.14177,0.60102,1.07538,0.000764086,0.000764086,0.000764086
49,1996.14,0.9764,0.53969,0.99632,0.82368,0.73127,0.77181,0.50432,1.12655,0.61114,1.08559,0.000749939,0.000749939,0.000749939
50,2037.8,0.96449,0.53904,0.99924,0.80123,0.61996,0.70476,0.48881,1.11182,0.61567,1.06249,0.000735792,0.000735792,0.000735792
51,2077.6,0.96388,0.53024,0.98229,0.80774,0.73747,0.77885,0.5117,1.15675,0.6217,1.0942,0.000721645,0.000721645,0.000721645
52,2117.21,0.94758,0.52719,0.98815,0.82022,0.73455,0.75895,0.50783,1.13382,0.6001,1.08143,0.000707498,0.000707498,0.000707498
53,2157.64,0.93966,0.52639,0.99295,0.81216,0.73129,0.77755,0.52345,1.10646,0.61033,1.06374,0.000693351,0.000693351,0.000693351
54,2199.04,0.94927,0.52256,0.9796,0.8054,0.61739,0.71455,0.47582,1.15067,0.63711,1.09683,0.000679204,0.000679204,0.000679204
55,2240.62,0.94238,0.52598,0.98404,0.85562,0.66082,0.73881,0.48974,1.15207,0.58954,1.09859,0.000665057,0.000665057,0.000665057
56,2281.68,0.93031,0.52255,0.98218,0.79282,0.75424,0.76844,0.50101,1.14892,0.57409,1.08443,0.000650909,0.000650909,0.000650909
57,2321.67,0.93152,0.50799,0.97771,0.83969,0.69419,0.77699,0.50199,1.13176,0.61555,1.07062,0.000636762,0.000636762,0.000636762
58,2361.99,0.93394,0.51106,0.97503,0.81989,0.69013,0.76845,0.50993,1.11886,0.60451,1.06359,0.000622615,0.000622615,0.000622615
59,2404.33,0.9193,0.50023,0.97621,0.80596,0.7132,0.7505,0.48235,1.14623,0.61832,1.07317,0.000608468,0.000608468,0.000608468
60,2444.73,0.9255,0.50794,0.9776,0.83174,0.74922,0.77689,0.50405,1.11955,0.58114,1.0649,0.000594321,0.000594321,0.000594321
61,2484.74,0.91398,0.50385,0.97403,0.87625,0.75441,0.79068,0.51546,1.13231,0.59294,1.08405,0.000580174,0.000580174,0.000580174
62,2524.84,0.91368,0.49197,0.97344,0.70403,0.76228,0.73605,0.49914,1.13052,0.62191,1.07089,0.000566027,0.000566027,0.000566027
63,2566.08,0.91807,0.49982,0.96483,0.89404,0.67796,0.76817,0.50386,1.13078,0.59112,1.07228,0.00055188,0.00055188,0.00055188
64,2607.11,0.88786,0.48407,0.95755,0.83373,0.74722,0.76722,0.49987,1.13718,0.58711,1.08075,0.000537733,0.000537733,0.000537733
65,2647.73,0.91055,0.4959,0.97374,0.83924,0.75113,0.76209,0.48795,1.13691,0.60126,1.08058,0.000523586,0.000523586,0.000523586
66,2687.41,0.88864,0.47767,0.96456,0.87864,0.73336,0.79096,0.52133,1.11158,0.58581,1.06842,0.000509438,0.000509438,0.000509438
67,2727.38,0.87818,0.47893,0.9617,0.84234,0.74531,0.76784,0.50096,1.11946,0.59079,1.07318,0.000495291,0.000495291,0.000495291
